,Ward_number,Category,Gross_sum,Gross_mean
479,38,Drainage,26974252.0,2452204.727272727
480,38,Drinking Water,1474260.0,1474260.0
481,38,Electricity,3543026.0,885756.5
482,38,Emergency,1793603.0,1793603.0
483,38,Gym,9878511.0,9878511.0
484,38,Health Care,445500.0,445500.0
485,38,Maintenance,8577932.0,252292.11764705883
486,38,Park,722625.0,361312.5
487,38,Poll,376570.0,376570.0
488,38,Road,23695186.0,3949197.6666666665
489,38,School Or College,198528991.0,28361284.42857143
490,38,Sports,43629405.0,4847711.666666667
491,39,Drainage,75272452.0,3584402.476190476
492,39,Drinking Water,1451253.0,1451253.0
493,39,Electricity,782270.0,782270.0
494,39,Emergency,8869663.0,4434831.5
495,39,Gym,3175319.0,1587659.5
496,39,House Of Worship,2198643.0,2198643.0
497,39,Indira Canteen,1765464.0,441366.0
498,39,Maintenance,7383118.0,615259.8333333334
499,39,Park,9925714.0,2481428.5
500,39,Poll,180118.0,180118.0
501,39,Road,54006476.0,6000719.555555556
502,40,Drainage,559440484.0,9171155.475409836
503,40,Drinking Water,56959458.0,5178132.545454546
504,40,Electricity,197078.0,98539.0
505,40,Ground Water,80320385.0,10040048.125
506,40,Indira Canteen,1992003.0,1992003.0
507,40,Library,7743315.0,3871657.5
508,40,Maintenance,78368696.0,1567373.92
509,40,Park,15361803.0,3072360.6
510,40,Poll,261863.0,261863.0
511,40,Road,97002390.0,7461722.307692308
512,40,Samudhaya,20190361.0,4038072.2
513,40,School Or College,34584439.0,8646109.75
514,40,Sports,98505.0,98505.0
515,41,Drainage,195963355.0,7257902.037037037
516,41,Drinking Water,1177514.0,1177514.0
517,41,Emergency,867082.0,867082.0
518,41,Ground Water,899204.0,899204.0
519,41,Gym,10758297.0,5379148.5
520,41,House Of Worship,19972011.0,3994402.2
521,41,Indira Canteen,1043611.0,347870.3333333333
522,41,Maintenance,7562615.0,472663.4375
523,41,Name,2995251.0,2995251.0
524,41,Park,4990611.0,2495305.5
525,41,Poll,131811.0,131811.0
526,41,Road,73103208.0,5221657.714285715
527,41,Samudhaya,24741101.0,12370550.5
528,41,School Or College,29113852.0,5822770.4
529,42,Drainage,71881978.0,3267362.6363636362
530,42,Drinking Water,6929055.0,1732263.75
531,42,Electricity,9963928.0,3321309.3333333335
532,42,Emergency,11193850.0,1865641.6666666667
533,42,Ground Water,9437112.0,1572852.0
534,42,Gym,4888510.0,4888510.0
535,42,Maintenance,12465347.0,479436.42307692306
536,42,Name,2852760.0,1426380.0
537,42,Poll,370990.0,370990.0
538,42,Road,9794595.0,1958919.0
539,42,Sports,24626.0,24626.0
540,42,Toilet,1911106.0,955553.0
541,42,Waste Management,1895040.0,947520.0
542,43,Drainage,201186677.0,5158632.743589744
543,43,Drinking Water,4679645.0,1559881.6666666667
544,43,Electricity,27087179.0,4514529.833333333
545,43,Emergency,9496632.0,3165544.0
546,43,Ground Water,48946814.0,3496201.0
547,43,Gym,41623323.0,4162332.3
548,43,Health Care,51839783.0,7405683.285714285
549,43,House Of Worship,57855340.0,5259576.363636363
550,43,Indira Canteen,740454.0,370227.0
551,43,Library,997722.0,997722.0
552,43,Maintenance,24997790.0,1388766.111111111
553,43,Name,12582182.0,4194060.6666666665
554,43,Park,191277457.0,5465070.2
555,43,Road,62952345.0,3703079.117647059
556,43,Samudhaya,34737262.0,8684315.5
557,43,School Or College,20210199.0,4042039.8
558,43,Skill,9963448.0,9963448.0
559,43,Sports,5254593.0,5254593.0
560,44,Drainage,276340694.0,4934655.25
561,44,Drinking Water,2471980.0,1235990.0
562,44,Electricity,29477879.0,2679807.1818181816
563,44,Emergency,1996847.0,1996847.0
564,44,Footpath,33881096.0,4235137.0
565,44,Ground Water,52853312.0,5285331.2
566,44,Gym,44335204.0,3410400.3076923075
567,44,Health Care,7944719.0,3972359.5
568,44,House Of Worship,33472791.0,3719199.0
569,44,Indira Canteen,17369417.0,5789805.666666667
570,44,Maintenance,19787445.0,1319163.0
571,44,Name,5343777.0,1781259.0
572,44,Park,66844923.0,3713606.8333333335
573,44,Road,64776467.0,3810380.411764706
574,44,School Or College,119443963.0,7962930.866666666
575,44,Sports,21826520.0,7275506.666666667
576,44,Toilet,998186.0,998186.0
577,45,Drainage,23394405.0,2599378.3333333335
578,45,Drinking Water,18932775.0,1893277.5
579,45,Electricity,8845191.0,4422595.5
580,45,Emergency,1774382.0,443595.5
581,45,Footpath,27945161.0,4657526.833333333
582,45,Ground Water,8734292.0,1455715.3333333333
583,45,Gym,1902016.0,634005.3333333334
584,45,Health Care,2238552.0,1119276.0
585,45,Indira Canteen,1042800.0,521400.0
586,45,Maintenance,6833317.0,525639.7692307692
587,45,Road,18723736.0,2340467.0
588,45,School Or College,35588415.0,3558841.5
589,45,Toilet,10870500.0,1811750.0
590,46,Drainage,124742646.0,3564075.6
591,46,Drinking Water,6522627.0,1630656.75
592,46,Electricity,344390.0,344390.0
593,46,Emergency,2095954.0,1047977.0
594,46,Ground Water,24156568.0,2684063.111111111
595,46,Health Care,49374641.0,9874928.2
596,46,House Of Worship,27970735.0,2797073.5
597,46,Indira Canteen,1999520.0,1999520.0
598,46,Maintenance,3629923.0,362992.3
599,46,Name,5248356.0,5248356.0
600,46,Park,7986240.0,2662080.0
601,46,Poll,137441.0,137441.0
602,46,Road,44498844.0,2342044.4210526315
603,46,Samudhaya,8391872.0,8391872.0
604,46,School Or College,16691062.0,4172765.5
605,47,C,6739876.0,3369938.0
606,47,Drainage,221361179.0,4812199.543478261
607,47,Drinking Water,9870451.0,2467612.75
608,47,Ews,55569535.0,18523178.333333332
609,47,Footpath,56580975.0,9430162.5
610,47,Ground Water,32576410.0,6515282.0
611,47,House Of Worship,24242275.0,4848455.0
612,47,Maintenance,6671507.0,444767.13333333336
613,47,Name,9362209.0,9362209.0
614,47,Park,31432373.0,4490339.0
615,47,Road,61660883.0,5138406.916666667
616,47,School Or College,37461787.0,3746178.7
617,47,Toilet,965062.0,965062.0
618,48,Drainage,155716631.0,3892915.775
619,48,Drinking Water,3955506.0,1318502.0
620,48,Ground Water,21159208.0,3022744.0
621,48,Health Care,4986230.0,2493115.0
622,48,House Of Worship,4880900.0,4880900.0
623,48,Indira Canteen,1732565.0,1732565.0
624,48,Maintenance,1818983.0,909491.5
625,48,Name,872240.0,872240.0
626,48,Road,31255512.0,3906939.0
627,48,School Or College,7521268.0,1880317.0
628,49,C,1365508.0,1365508.0
629,49,Drainage,69768666.0,2250602.129032258
630,49,Electricity,27463001.0,2746300.1
631,49,Ground Water,11085932.0,1847655.3333333333
632,49,Gym,4940505.0,4940505.0
633,49,House Of Worship,22446453.0,3741075.5
634,49,Indira Canteen,2984428.0,2984428.0
635,49,Maintenance,3424723.0,428090.375
636,49,Name,954686.0,954686.0
637,49,Road,23172674.0,2574741.5555555555
638,49,School Or College,25745952.0,3218244.0
639,50,C,2264665.0,2264665.0
640,50,Drainage,97525703.0,2786448.657142857
641,50,Drinking Water,1459590.0,1459590.0
642,50,Electricity,10394513.0,2078902.6
643,50,Emergency,1730861.0,1730861.0
644,50,Ground Water,2047967.0,2047967.0
645,50,Health Care,9042499.0,3014166.3333333335
646,50,House Of Worship,17033359.0,2433337.0
647,50,Indira Canteen,946643.0,946643.0
648,50,Maintenance,11990419.0,479616.76
649,50,Name,1916887.0,958443.5
650,50,Park,10220928.0,3406976.0
651,50,Poll,194181.0,194181.0
652,50,Road,70630645.0,2825225.8
653,50,School Or College,6023925.0,2007975.0
654,50,Sports,10951048.0,2737762.0
655,51,Drainage,156879567.0,4022553.0
656,51,Drinking Water,13500242.0,3375060.5
657,51,Electricity,14827031.0,7413515.5
658,51,Emergency,8875525.0,2218881.25
659,51,Ground Water,4147947.0,4147947.0
660,51,House Of Worship,10377775.0,10377775.0
661,51,Indira Canteen,1525880.0,508626.6666666667
662,51,Maintenance,10591040.0,1059104.0
663,51,Park,15330731.0,7665365.5
664,51,School Or College,59311898.0,6590210.888888889
665,52,C,3952180.0,3952180.0
666,52,Drainage,176971389.0,4115613.697674419
667,52,Drinking Water,14656961.0,2931392.2
668,52,Electricity,33436502.0,6687300.4
669,52,Emergency,9769352.0,2442338.0
670,52,Ground Water,2787693.0,2787693.0
671,52,Gym,2445732.0,2445732.0
672,52,Health Care,18379527.0,9189763.5
673,52,House Of Worship,1096821.0,1096821.0
674,52,Indira Canteen,9406144.0,1881228.8
675,52,Library,12851824.0,4283941.333333333
676,52,Maintenance,5363338.0,1787779.3333333333
677,52,Park,17586541.0,5862180.333333333
678,52,Road,22206696.0,3172385.1428571427
679,52,School Or College,35129597.0,4391199.625
680,52,Sports,15319986.0,5106662.0
681,53,Drainage,561220592.0,6761693.879518072
682,53,Drinking Water,13478736.0,3369684.0
683,53,Emergency,14241663.0,2848332.6
684,53,Ground Water,9000388.0,4500194.0
685,53,Health Care,10319902.0,10319902.0
686,53,House Of Worship,36329805.0,4036645.0
687,53,Indira Canteen,2176510.0,725503.3333333334
688,53,Maintenance,9667259.0,1381037.0
689,53,Name,3730385.0,932596.25
690,53,Road,88080304.0,3829578.434782609
691,53,School Or College,34683766.0,3853751.777777778
692,54,Drainage,175203770.0,4610625.52631579
693,54,Drinking Water,15660465.0,2610077.5
694,54,Electricity,8631104.0,1438517.3333333333
695,54,Ground Water,44638533.0,4058048.4545454546
696,54,House Of Worship,15429798.0,3857449.5
697,54,Indira Canteen,2176184.0,725394.6666666666
698,54,Maintenance,20026265.0,1430447.5
699,54,Park,14695512.0,4898504.0
700,54,School Or College,16068327.0,4017081.75
701,54,Sports,806786.0,403393.0
702,55,C,954632.0,954632.0
703,55,Drainage,121877884.0,3584643.6470588236
704,55,Drinking Water,9034062.0,3011354.0
705,55,Electricity,94380.0,94380.0
706,55,Emergency,5826737.0,2913368.5
707,55,Ground Water,497325.0,497325.0
708,55,Gym,5786866.0,1928955.3333333333
709,55,House Of Worship,9494544.0,1582424.0
710,55,Indira Canteen,1168459.0,389486.3333333333
711,55,Maintenance,9384423.0,1340631.857142857
712,55,Name,5325565.0,1331391.25
713,55,Road,13577265.0,2715453.0
714,55,School Or College,13104092.0,1872013.142857143
715,55,Sports,5835677.0,1945225.6666666667
716,55,Toilet,1667502.0,1667502.0
717,56,Drainage,38396159.0,2258597.588235294
718,56,Drinking Water,11660092.0,2915023.0
719,56,Emergency,8829246.0,2943082.0
720,56,Ground Water,521670.0,521670.0
721,56,House Of Worship,1956605.0,1956605.0
722,56,Indira Canteen,1728976.0,576325.3333333334
723,56,Library,3938213.0,3938213.0
724,56,Maintenance,17793077.0,2541868.1428571427
725,56,Name,1296030.0,648015.0
726,56,Park,28414018.0,7103504.5
727,56,Road,3351504.0,1117168.0
728,56,School Or College,17511320.0,8755660.0
729,56,Toilet,291482.0,291482.0
730,57,Drainage,41886154.0,1551339.037037037
731,57,Drinking Water,1861867.0,1861867.0
732,57,Electricity,4178865.0,2089432.5
733,57,Emergency,3203701.0,1601850.5
734,57,Footpath,1701213.0,1701213.0
735,57,House Of Worship,1924062.0,1924062.0
736,57,Indira Canteen,1473192.0,1473192.0
737,57,Maintenance,8678041.0,542377.5625
738,57,Name,2827245.0,2827245.0
739,57,Road,12772810.0,1824687.142857143
740,57,School Or College,941006.0,941006.0
741,58,Drainage,58201744.0,2425072.6666666665
742,58,Drinking Water,3381620.0,845405.0
743,58,Footpath,19913997.0,9956998.5
744,58,Ground Water,838353.0,838353.0
745,58,Health Care,9857301.0,9857301.0
746,58,House Of Worship,18000623.0,4500155.75
747,58,Indira Canteen,1834565.0,1834565.0
748,58,Maintenance,4485873.0,560734.125
749,58,Name,2393353.0,2393353.0
750,58,Poll,170026.0,170026.0
751,58,Road,23902325.0,1493895.3125
752,58,Sports,331414.0,331414.0
753,59,Drainage,228551244.0,3627797.523809524
754,59,Electricity,8495729.0,2831909.6666666665
755,59,Ground Water,13757481.0,2292913.5
756,59,Gym,24657116.0,4931423.2
757,59,Health Care,3495783.0,1747891.5
758,59,House Of Worship,4333644.0,2166822.0
759,59,Maintenance,6901812.0,405988.9411764706
760,59,Name,1986464.0,1986464.0
761,59,Park,25477751.0,3184718.875
762,59,Poll,198951.0,198951.0
763,59,Road,59787353.0,4270525.214285715
764,59,School Or College,12031544.0,6015772.0
765,59,Toilet,6472031.0,6472031.0
766,60,Drainage,135208883.0,3466894.435897436
767,60,Drinking Water,6872401.0,1145400.1666666667
768,60,Electricity,37161616.0,4645202.0
769,60,Ground Water,9929057.0,9929057.0
770,60,Gym,14699743.0,2099963.285714286
771,60,Health Care,61107025.0,15276756.25
772,60,House Of Worship,2440733.0,1220366.5
773,60,Indira Canteen,1467600.0,1467600.0
774,60,Maintenance,20739307.0,1091542.4736842106
775,60,Name,2491649.0,2491649.0
776,60,Park,38660775.0,3866077.5
777,60,Road,61739125.0,2286634.2592592593
778,60,Samudhaya,1988662.0,1988662.0
779,60,School Or College,35736271.0,5105181.571428572
780,60,Toilet,1571909.0,785954.5
781,61,C,24614950.0,12307475.0
782,61,Drainage,243473090.0,4126662.5423728814
783,61,Drinking Water,11372081.0,3790693.6666666665
784,61,Ground Water,24862604.0,6215651.0
785,61,Gym,1998190.0,1998190.0
786,61,Indira Canteen,2491140.0,2491140.0
787,61,Name,1670000.0,1670000.0
788,61,Park,9987025.0,1664504.1666666667
789,61,Road,63967721.0,4920593.923076923
790,61,School Or College,5024975.0,5024975.0
791,61,Sports,1998820.0,1998820.0
792,61,Toilet,2588145.0,2588145.0
793,62,C,12485428.0,6242714.0
794,62,Drainage,124511504.0,3036865.951219512
795,62,Drinking Water,15496202.0,1721800.2222222222
796,62,Electricity,9986989.0,4993494.5
797,62,Emergency,1932307.0,1932307.0
798,62,Ground Water,13851747.0,2770349.4
799,62,House Of Worship,14182416.0,1575824.0
800,62,Indira Canteen,15870945.0,3967736.25
801,62,Maintenance,6705358.0,291537.3043478261
802,62,Name,4904798.0,4904798.0
803,62,Park,13179638.0,6589819.0
804,62,Poll,98621.0,98621.0
805,62,Road,44601142.0,2623596.588235294
806,62,School Or College,29456448.0,4909408.0
807,62,Sports,5162454.0,5162454.0
808,63,Drainage,12688000.0,2114666.6666666665
809,63,Electricity,8995507.0,2248876.75
810,63,Ground Water,3797324.0,1898662.0
811,63,Health Care,68562883.0,17140720.75
812,63,Indira Canteen,4483600.0,4483600.0
813,63,Maintenance,4305780.0,538222.5
814,63,Park,4965094.0,4965094.0
815,63,Poll,123320.0,123320.0
816,63,Road,32258334.0,4608333.428571428
817,63,Toilet,2226605.0,2226605.0
818,64,Drainage,46531021.0,2908188.8125
819,64,Drinking Water,1638810.0,546270.0
820,64,Electricity,9919598.0,1983919.6
821,64,Emergency,1782025.0,891012.5
822,64,Ground Water,487959.0,487959.0
823,64,Health Care,22196217.0,3699369.5
824,64,Indira Canteen,99615.0,99615.0
825,64,Maintenance,9653852.0,804487.6666666666
826,64,Name,1698070.0,1698070.0
827,64,Park,9267760.0,2316940.0
828,64,Road,42291944.0,2643246.5
829,64,School Or College,560560.0,560560.0
830,64,Sports,2969720.0,2969720.0
831,65,Drainage,1163970383.0,83140741.64285715
832,65,Drinking Water,2880305.0,960101.6666666666
833,65,Emergency,5762095.0,1920698.3333333333
834,65,Ground Water,1497575.0,1497575.0
835,65,Gym,2638010.0,2638010.0
836,65,Health Care,7490570.0,7490570.0
837,65,House Of Worship,1545590.0,515196.6666666667
838,65,Library,3999825.0,3999825.0
839,65,Maintenance,12857490.0,642874.5
840,65,Name,1238900.0,1238900.0
841,65,Park,3457490.0,1152496.6666666667
842,65,Road,20564854.0,2284983.777777778
843,65,Samudhaya,13322205.0,4440735.0
844,65,School Or College,36422612.0,5203230.285714285
845,65,Sports,9935230.0,9935230.0
846,65,Toilet,3855555.0,1927777.5
847,66,Drainage,32552212.0,1550105.3333333333
848,66,Drinking Water,1417925.0,1417925.0
849,66,Electricity,6970455.0,1742613.75
